Date;Region;Filère;Valeur (TWh)
2014;"Île-de-France";"Consommation ";71,01
2015;"Île-de-France";"Consommation ";73,22
2016;"Île-de-France";"Consommation ";74
2017;"Île-de-France";"Consommation ";72,28
2018;"Île-de-France";"Consommation ";71,68
2019;"Île-de-France";"Consommation ";70,37
2020;"Île-de-France";"Consommation ";65,83
2021;"Île-de-France";"Consommation ";69,19
2022;"Île-de-France";"Consommation ";66,52
2023;"Île-de-France";"Consommation ";63,16
2024;"Île-de-France";"Consommation ";24,28
2014;"Centre-Val de Loire";"Consommation ";17,74
2015;"Centre-Val de Loire";"Consommation ";18,14
2016;"Centre-Val de Loire";"Consommation ";18,43
2017;"Centre-Val de Loire";"Consommation ";18,4
2018;"Centre-Val de Loire";"Consommation ";18,12
2019;"Centre-Val de Loire";"Consommation ";18,21
2020;"Centre-Val de Loire";"Consommation ";17,53
2021;"Centre-Val de Loire";"Consommation ";18,2
2022;"Centre-Val de Loire";"Consommation ";17,5
2023;"Centre-Val de Loire";"Consommation ";17,28
2024;"Centre-Val de Loire";"Consommation ";6,74
2014;"Bourgogne-Franche-Comté";"Consommation ";20,74
2015;"Bourgogne-Franche-Comté";"Consommation ";20,81
2016;"Bourgogne-Franche-Comté";"Consommation ";21,81
2017;"Bourgogne-Franche-Comté";"Consommation ";21,83
2018;"Bourgogne-Franche-Comté";"Consommation ";21,36
2019;"Bourgogne-Franche-Comté";"Consommation ";21,21
2020;"Bourgogne-Franche-Comté";"Consommation ";20,08
2021;"Bourgogne-Franche-Comté";"Consommation ";21,29
2022;"Bourgogne-Franche-Comté";"Consommation ";19,88
2023;"Bourgogne-Franche-Comté";"Consommation ";19,55
2024;"Bourgogne-Franche-Comté";"Consommation ";7,35
2014;"Normandie";"Consommation ";27,5
2015;"Normandie";"Consommation ";27,79
2016;"Normandie";"Consommation ";28,65
2017;"Normandie";"Consommation ";28,13
2018;"Normandie";"Consommation ";27,99
2019;"Normandie";"Consommation ";27,75
2020;"Normandie";"Consommation ";26,46
2021;"Normandie";"Consommation ";27,51
2022;"Normandie";"Consommation ";26,33
2023;"Normandie";"Consommation ";25,66
2024;"Normandie";"Consommation ";9,89
2014;"Hauts-de-France";"Consommation ";50,11
2015;"Hauts-de-France";"Consommation ";50,4
2016;"Hauts-de-France";"Consommation ";50,99
2017;"Hauts-de-France";"Consommation ";50,95
2018;"Hauts-de-France";"Consommation ";50,81
